Итого: покрыто 68 из 8620 строк (0.79%), модулей: 52

Покрытие по модулям:
  0.00% 0/2 Catalogs/кфкБрокеры/ФормаСписка
  4.83% 10/207 Catalogs/кфкБрокеры/ФормаЭлемента
  0.00% 0/47 Catalogs/кфкБрокеры/ManagerModule
  0.00% 0/6 Catalogs/кфкБрокеры/ObjectModule
  0.00% 0/18 Catalogs/кфкКонсьюмеры/ФормаВводаОбработчика
  0.00% 0/4 Catalogs/кфкКонсьюмеры/ФормаСписка
  8.37% 19/227 Catalogs/кфкКонсьюмеры/ФормаЭлемента
  0.00% 0/77 Catalogs/кфкКонсьюмеры/ManagerModule
  0.00% 0/18 Catalogs/кфкПродюсеры/ФормаВводаОбработчика
  0.00% 0/52 Catalogs/кфкПродюсеры/ФормаВыбораОбъектаМетаданных
  0.00% 0/14 Catalogs/кфкПродюсеры/ФормаГруппы
  0.00% 0/4 Catalogs/кфкПродюсеры/ФормаСписка
  7.75% 21/271 Catalogs/кфкПродюсеры/ФормаЭлемента
  0.00% 0/70 Catalogs/кфкПродюсеры/ManagerModule
  0.00% 0/6 Catalogs/кфкПродюсеры/ObjectModule
  0.00% 0/35 CommonForms/кфкФормаВыбораСвойстваLibrdKafka
  0.00% 0/98 CommonModules/кфкИнтеграция
  0.00% 0/13 CommonModules/кфкИнтеграцияКлиент
  0.00% 0/299 CommonModules/кфкИнтеграцияСлужебный
  0.00% 0/15 CommonModules/кфкИнтеграцияСлужебныйВызовСервера
  7.63% 18/236 CommonModules/кфкИнтеграцияСлужебныйКлиент
  0.00% 0/88 CommonModules/кфкИнтеграцияСлужебныйПовтИсп
  0.00% 0/1940 CommonModules/кфкОбменДаннымиXDTOСервер
  0.00% 0/361 CommonModules/кфкОбработкаСобытийСлужебный
  0.00% 0/216 CommonModules/кфкОбщегоНазначенияСлужебный
  0.00% 0/2116 CommonModules/кфкФоновыеОперацииСлужебный
  0.00% 0/415 DataProcessors/кфкИнтеграция/ObjectModule
  0.00% 0/2 DataProcessors/кфкПанельАдминистрирования/Commands/ФоновыеЗадания/CommandModule
  0.00% 0/107 DataProcessors/кфкПанельАдминистрирования/Логирование
  0.00% 0/104 DataProcessors/кфкПанельАдминистрирования/Очереди
  0.00% 0/93 DataProcessors/кфкПанельАдминистрирования/РегламентноеЗадание
  0.00% 0/189 DataProcessors/кфкПанельАдминистрирования/ФоновыеЗадания
  0.00% 0/65 DataProcessors/кфкПанельАдминистрирования/Форма
  0.00% 0/168 DataProcessors/кфкПанельАдминистрирования/ManagerModule
  0.00% 0/2 DataProcessors/кфкРегистрацияИзменений/Commands/ПакетнаяРегистрацияИзменений/CommandModule
  0.00% 0/203 DataProcessors/кфкРегистрацияИзменений/Форма
  0.00% 0/105 DataProcessors/кфкРегистрацияИзменений/ФормаПакетнаяРегистрация
  0.00% 0/179 DataProcessors/кфкРегистрацияИзменений/ManagerModule
  0.00% 0/56 InformationRegisters/кфкВходящиеСообщения/ФормаЗаписи
  0.00% 0/51 InformationRegisters/кфкВходящиеСообщения/ФормаСписка
  0.00% 0/16 InformationRegisters/кфкВходящиеСообщения/ManagerModule
  0.00% 0/36 InformationRegisters/кфкИсходящиеСообщения/Commands/ИсторияВыгрузки/CommandModule
  0.00% 0/206 InformationRegisters/кфкИсходящиеСообщения/ФормаЗаписи
  0.00% 0/55 InformationRegisters/кфкИсходящиеСообщения/ФормаСписка
  0.00% 0/16 InformationRegisters/кфкИсходящиеСообщения/ManagerModule
  0.00% 0/2 InformationRegisters/кфкОчередьПотоков/ФормаСписка
  0.00% 0/24 InformationRegisters/кфкПараметрыКонтроляИнтеграции/ManagerModule
  0.00% 0/28 InformationRegisters/кфкПараметрыЛогирования/ManagerModule
  0.00% 0/28 InformationRegisters/кфкПараметрыОчисткиХранилища/ManagerModule
  0.00% 0/4 InformationRegisters/кфкПозицииОпераций/ФормаЗаписи
  0.00% 0/7 InformationRegisters/кфкПозицииОпераций/ФормаСписка
  0.00% 0/19 InformationRegisters/кфкПозицииОпераций/ManagerModule
